"Sample_name"	"DNA_vs_RNA"	"Time_point"	"Metabolic_treatment"	"Replicate_number"	"kegg_ID"	"TPM"
"Nitrifying_Week4_Ironreduction_rep2_RNA"	"RNA"	"Week 4"	"Iron reduction"	"2"	"K00626; acetyl-CoA C-acetyltransferase
[EC:2.3.1.9]"	133.529
"Nitrifying_Week4_Ironreduction_rep3_RNA"	"RNA"	"Week 4"	"Iron reduction"	"3"	"K00626; acetyl-CoA C-acetyltransferase
[EC:2.3.1.9]"	5.805
"Nitrifying_Week4_Nitratereduction_rep1_RNA"	"RNA"	"Week 4"	"Nitrate reduction"	"1"	"K00626; acetyl-CoA C-acetyltransferase
[EC:2.3.1.9]"	103.809
"Nitrifying_Week4_Nitratereduction_rep2_RNA"	"RNA"	"Week 4"	"Nitrate reduction"	"2"	"K00626; acetyl-CoA C-acetyltransferase
[EC:2.3.1.9]"	102.498
"Nitrifying_Week4_Sulphatereduction_rep1_RNA"	"RNA"	"Week 4"	"Sulphate reduction"	"1"	"K00626; acetyl-CoA C-acetyltransferase
[EC:2.3.1.9]"	123.465
"Nitrifying_Week4_Sulphatereduction_rep2_RNA"	"RNA"	"Week 4"	"Sulphate reduction"	"2"	"K00626; acetyl-CoA C-acetyltransferase
[EC:2.3.1.9]"	103.287
"Nitrifying_Week8_Aerobic_rep1_RNA"	"RNA"	"Week 8"	"Aerobic"	"1"	"K00626; acetyl-CoA C-acetyltransferase
[EC:2.3.1.9]"	26.201
"Nitrifying_Week8_Aerobic_rep2_RNA"	"RNA"	"Week 8"	"Aerobic"	"2"	"K00626; acetyl-CoA C-acetyltransferase
[EC:2.3.1.9]"	51.788
"Nitrifying_Week8_Aerobic_rep3_RNA"	"RNA"	"Week 8"	"Aerobic"	"3"	"K00626; acetyl-CoA C-acetyltransferase
[EC:2.3.1.9]"	21.157
"Nitrifying_Week8_Ironreduction_rep3_RNA"	"RNA"	"Week 8"	"Iron reduction"	"3"	"K00626; acetyl-CoA C-acetyltransferase
[EC:2.3.1.9]"	7.542
"Nitrifying_Week8_Nitratereduction_rep1_RNA"	"RNA"	"Week 8"	"Nitrate reduction"	"1"	"K00626; acetyl-CoA C-acetyltransferase
[EC:2.3.1.9]"	167.599
"Nitrifying_Week8_Nitratereduction_rep2_RNA"	"RNA"	"Week 8"	"Nitrate reduction"	"2"	"K00626; acetyl-CoA C-acetyltransferase
[EC:2.3.1.9]"	39.606
"Nitrifying_Week8_Sulphatereduction_rep1_RNA"	"RNA"	"Week 8"	"Sulphate reduction"	"1"	"K00626; acetyl-CoA C-acetyltransferase
[EC:2.3.1.9]"	26.826
"Nitrifying_Week8_Sulphatereduction_rep2_RNA"	"RNA"	"Week 8"	"Sulphate reduction"	"2"	"K00626; acetyl-CoA C-acetyltransferase
[EC:2.3.1.9]"	81.143
"Nitrifying_Week8_Sulphatereduction_rep3_RNA"	"RNA"	"Week 8"	"Sulphate reduction"	"3"	"K00626; acetyl-CoA C-acetyltransferase
[EC:2.3.1.9]"	147.699
"Nitrifying_Day0_rep1_DNA"	"DNA"	"Week 0"	"Inoculum"	"1"	"K00382; dihydrolipoamide dehydrogenase
[EC:1.8.1.4]"	737.762
"Nitrifying_Day0_rep2_DNA"	"DNA"	"Week 0"	"Inoculum"	"2"	"K00382; dihydrolipoamide dehydrogenase
[EC:1.8.1.4]"	754.514
"Nitrifying_Day0_rep3_DNA"	"DNA"	"Week 0"	"Inoculum"	"3"	"K00382; dihydrolipoamide dehydrogenase
[EC:1.8.1.4]"	765.457
"Nitrifying_Week4_Aerobic_rep1_DNA"	"DNA"	"Week 4"	"Aerobic"	"1"	"K00382; dihydrolipoamide dehydrogenase
[EC:1.8.1.4]"	574.977
"Nitrifying_Week4_Aerobic_rep2_DNA"	"DNA"	"Week 4"	"Aerobic"	"2"	"K00382; dihydrolipoamide dehydrogenase
[EC:1.8.1.4]"	612.3
"Nitrifying_Week4_Aerobic_rep3_DNA"	"DNA"	"Week 4"	"Aerobic"	"3"	"K00382; dihydrolipoamide dehydrogenase
[EC:1.8.1.4]"	521.25
"Nitrifying_Week4_Ironreduction_rep1_DNA"	"DNA"	"Week 4"	"Iron reduction"	"1"	"K00382; dihydrolipoamide dehydrogenase
[EC:1.8.1.4]"	633.084
"Nitrifying_Week4_Ironreduction_rep2_DNA"	"DNA"	"Week 4"	"Iron reduction"	"2"	"K00382; dihydrolipoamide dehydrogenase
[EC:1.8.1.4]"	673.798
"Nitrifying_Week4_Ironreduction_rep3_DNA"	"DNA"	"Week 4"	"Iron reduction"	"3"	"K00382; dihydrolipoamide dehydrogenase
[EC:1.8.1.4]"	706.047
"Nitrifying_Week4_Nitratereduction_rep1_DNA"	"DNA"	"Week 4"	"Nitrate reduction"	"1"	"K00382; dihydrolipoamide dehydrogenase
[EC:1.8.1.4]"	562.704
"Nitrifying_Week4_Nitratereduction_rep2_DNA"	"DNA"	"Week 4"	"Nitrate reduction"	"2"	"K00382; dihydrolipoamide dehydrogenase
[EC:1.8.1.4]"	601.679
"Nitrifying_Week4_Sulphatereduction_rep1_DNA"	"DNA"	"Week 4"	"Sulphate reduction"	"1"	"K00382; dihydrolipoamide dehydrogenase
[EC:1.8.1.4]"	647.063
