"Sample_name"	"DNA_vs_RNA"	"Time_point"	"Metabolic_treatment"	"Replicate_number"	"kegg_ID"	"TPM"	"kegg_ID_custom_order"
"Nitrifying_Week8_Sulphatereduction_rep2_DNA"	"DNA"	"Week 8"	"Sulphate reduction"	"2"	"K10944; methane/ammonia monooxygenase subunit A
[EC:1.14.18.3 1.14.99.39]"	509.611569888607	"K10944; methane/ammonia monooxygenase subunit A"
"Nitrifying_Week8_Sulphatereduction_rep3_DNA"	"DNA"	"Week 8"	"Sulphate reduction"	"3"	"K10944; methane/ammonia monooxygenase subunit A
[EC:1.14.18.3 1.14.99.39]"	354.257983735884	"K10944; methane/ammonia monooxygenase subunit A"
"Nitrifying_Day0_rep1_RNA"	"RNA"	"Week 0"	"Inoculum"	"1"	"K10944; methane/ammonia monooxygenase subunit A
[EC:1.14.18.3 1.14.99.39]"	874.971758844444	"K10944; methane/ammonia monooxygenase subunit A"
"Nitrifying_Day0_rep2_RNA"	"RNA"	"Week 0"	"Inoculum"	"2"	"K10944; methane/ammonia monooxygenase subunit A
[EC:1.14.18.3 1.14.99.39]"	1215.58217275842	"K10944; methane/ammonia monooxygenase subunit A"
"Nitrifying_Day0_rep3_RNA"	"RNA"	"Week 0"	"Inoculum"	"3"	"K10944; methane/ammonia monooxygenase subunit A
[EC:1.14.18.3 1.14.99.39]"	1003.17057910397	"K10944; methane/ammonia monooxygenase subunit A"
"Nitrifying_Week4_Aerobic_rep1_RNA"	"RNA"	"Week 4"	"Aerobic"	"1"	"K10944; methane/ammonia monooxygenase subunit A
[EC:1.14.18.3 1.14.99.39]"	26.8444060063592	"K10944; methane/ammonia monooxygenase subunit A"
"Nitrifying_Week4_Aerobic_rep2_RNA"	"RNA"	"Week 4"	"Aerobic"	"2"	"K10944; methane/ammonia monooxygenase subunit A
[EC:1.14.18.3 1.14.99.39]"	317.113051436424	"K10944; methane/ammonia monooxygenase subunit A"
"Nitrifying_Week4_Aerobic_rep3_RNA"	"RNA"	"Week 4"	"Aerobic"	"3"	"K10944; methane/ammonia monooxygenase subunit A
[EC:1.14.18.3 1.14.99.39]"	470.504836661966	"K10944; methane/ammonia monooxygenase subunit A"
"Nitrifying_Week4_Ironreduction_rep1_RNA"	"RNA"	"Week 4"	"Iron reduction"	"1"	"K10944; methane/ammonia monooxygenase subunit A
[EC:1.14.18.3 1.14.99.39]"	14.4831705176441	"K10944; methane/ammonia monooxygenase subunit A"
"Nitrifying_Week4_Ironreduction_rep2_RNA"	"RNA"	"Week 4"	"Iron reduction"	"2"	"K10944; methane/ammonia monooxygenase subunit A
[EC:1.14.18.3 1.14.99.39]"	9.42818029002193	"K10944; methane/ammonia monooxygenase subunit A"
"Nitrifying_Week4_Ironreduction_rep3_RNA"	"RNA"	"Week 4"	"Iron reduction"	"3"	"K10944; methane/ammonia monooxygenase subunit A
[EC:1.14.18.3 1.14.99.39]"	35.8806678642306	"K10944; methane/ammonia monooxygenase subunit A"
"Nitrifying_Week4_Nitratereduction_rep1_RNA"	"RNA"	"Week 4"	"Nitrate reduction"	"1"	"K10944; methane/ammonia monooxygenase subunit A
[EC:1.14.18.3 1.14.99.39]"	17.9493455690737	"K10944; methane/ammonia monooxygenase subunit A"
"Nitrifying_Week4_Nitratereduction_rep2_RNA"	"RNA"	"Week 4"	"Nitrate reduction"	"2"	"K10944; methane/ammonia monooxygenase subunit A
[EC:1.14.18.3 1.14.99.39]"	2.82784893765873	"K10944; methane/ammonia monooxygenase subunit A"
"Nitrifying_Week4_Sulphatereduction_rep1_RNA"	"RNA"	"Week 4"	"Sulphate reduction"	"1"	"K10944; methane/ammonia monooxygenase subunit A
[EC:1.14.18.3 1.14.99.39]"	21.0951535075247	"K10944; methane/ammonia monooxygenase subunit A"
"Nitrifying_Week4_Sulphatereduction_rep2_RNA"	"RNA"	"Week 4"	"Sulphate reduction"	"2"	"K10944; methane/ammonia monooxygenase subunit A
[EC:1.14.18.3 1.14.99.39]"	22.1811568416962	"K10944; methane/ammonia monooxygenase subunit A"
