"Sample_name"	"Time_point"	"Metabolic_treatment"	"Replicate_number"	"Genome bin"	"percent"
"Nitrifying_Week8_Sulphatereduction_rep3_RNA"	"Week 8"	"Sulphate reduction"	3	"MBSoxNitrifying4mlFreshRep3_metaMDBG_complete.48"	1.35570977251347
"Nitrifying_Day0_rep1_RNA"	"Week 0"	"Inoculum"	1	"MEGAHIT-MaxBin2Refined-group-4.002"	0.0238741215527617
"Nitrifying_Day0_rep2_RNA"	"Week 0"	"Inoculum"	2	"MEGAHIT-MaxBin2Refined-group-4.002"	0.0125099242321953
"Nitrifying_Day0_rep3_RNA"	"Week 0"	"Inoculum"	3	"MEGAHIT-MaxBin2Refined-group-4.002"	0.0151974606193603
"Nitrifying_Week4_Aerobic_rep1_RNA"	"Week 4"	"Aerobic"	1	"MEGAHIT-MaxBin2Refined-group-4.002"	0.0569649588924221
"Nitrifying_Week4_Aerobic_rep2_RNA"	"Week 4"	"Aerobic"	2	"MEGAHIT-MaxBin2Refined-group-4.002"	0.0203489222455327
"Nitrifying_Week4_Aerobic_rep3_RNA"	"Week 4"	"Aerobic"	3	"MEGAHIT-MaxBin2Refined-group-4.002"	0.0159895811792761
"Nitrifying_Week4_Ironreduction_rep1_RNA"	"Week 4"	"Iron reduction"	1	"MEGAHIT-MaxBin2Refined-group-4.002"	4.18765595361809
"Nitrifying_Week4_Ironreduction_rep2_RNA"	"Week 4"	"Iron reduction"	2	"MEGAHIT-MaxBin2Refined-group-4.002"	45.1300806597511
"Nitrifying_Week4_Ironreduction_rep3_RNA"	"Week 4"	"Iron reduction"	3	"MEGAHIT-MaxBin2Refined-group-4.002"	3.33092082867721
"Nitrifying_Week4_Nitratereduction_rep1_RNA"	"Week 4"	"Nitrate reduction"	1	"MEGAHIT-MaxBin2Refined-group-4.002"	78.5221417056816
"Nitrifying_Week4_Nitratereduction_rep2_RNA"	"Week 4"	"Nitrate reduction"	2	"MEGAHIT-MaxBin2Refined-group-4.002"	45.2085817842475
"Nitrifying_Week4_Sulphatereduction_rep1_RNA"	"Week 4"	"Sulphate reduction"	1	"MEGAHIT-MaxBin2Refined-group-4.002"	15.6895554618016
"Nitrifying_Week4_Sulphatereduction_rep2_RNA"	"Week 4"	"Sulphate reduction"	2	"MEGAHIT-MaxBin2Refined-group-4.002"	51.5355631365731
"Nitrifying_Week8_Aerobic_rep1_RNA"	"Week 8"	"Aerobic"	1	"MEGAHIT-MaxBin2Refined-group-4.002"	0.00886126758059957
"Nitrifying_Week8_Aerobic_rep2_RNA"	"Week 8"	"Aerobic"	2	"MEGAHIT-MaxBin2Refined-group-4.002"	0.0345514541833691
"Nitrifying_Week8_Aerobic_rep3_RNA"	"Week 8"	"Aerobic"	3	"MEGAHIT-MaxBin2Refined-group-4.002"	0.00850256110519702
