Nitrifying_Week8_Aerobic_rep3_DNA	NitrifyingPelletDNA_Week8_Aerobic_DNARNAkit_rep3_S17_cleaned_R2.fastq.gz	pair2		
Nitrifying_Week8_Ironreduction_rep1_DNA	NitrifyingPelletDNA_Week8_Ironreduction_DNARNAkit_rep1_S21_cleaned_R1.fastq.gz	pair1		
Nitrifying_Week8_Ironreduction_rep1_DNA	NitrifyingPelletDNA_Week8_Ironreduction_DNARNAkit_rep1_S21_cleaned_R2.fastq.gz	pair2		
Nitrifying_Week8_Ironreduction_rep2_DNA	NitrifyingPelletDNA_Week8_Ironreduction_DNARNAkit_rep2_S22_cleaned_R1.fastq.gz	pair1		
Nitrifying_Week8_Ironreduction_rep2_DNA	NitrifyingPelletDNA_Week8_Ironreduction_DNARNAkit_rep2_S22_cleaned_R2.fastq.gz	pair2		
Nitrifying_Week8_Ironreduction_rep3_DNA	NitrifyingPelletDNA_Week8_Ironreduction_DNARNAkit_rep3_S23_cleaned_R1.fastq.gz	pair1		
Nitrifying_Week8_Ironreduction_rep3_DNA	NitrifyingPelletDNA_Week8_Ironreduction_DNARNAkit_rep3_S23_cleaned_R2.fastq.gz	pair2		
Nitrifying_Week8_Nitratereduction_rep1_DNA	NitrifyingPelletDNA_Week8_Nitratereduction_DNARNAkit_rep1_S18_cleaned_R1.fastq.gz	pair1		
Nitrifying_Week8_Nitratereduction_rep1_DNA	NitrifyingPelletDNA_Week8_Nitratereduction_DNARNAkit_rep1_S18_cleaned_R2.fastq.gz	pair2		
Nitrifying_Week8_Nitratereduction_rep2_DNA	NitrifyingPelletDNA_Week8_Nitratereduction_DNARNAkit_rep2_S19_cleaned_R1.fastq.gz	pair1		
Nitrifying_Week8_Nitratereduction_rep2_DNA	NitrifyingPelletDNA_Week8_Nitratereduction_DNARNAkit_rep2_S19_cleaned_R2.fastq.gz	pair2		
Nitrifying_Week8_Nitratereduction_rep3_DNA	NitrifyingPelletDNA_Week8_Nitratereduction_DNARNAkit_rep3_S20_cleaned_R1.fastq.gz	pair1		
Nitrifying_Week8_Nitratereduction_rep3_DNA	NitrifyingPelletDNA_Week8_Nitratereduction_DNARNAkit_rep3_S20_cleaned_R2.fastq.gz	pair2		
Nitrifying_Week8_Sulphatereduction_rep1_DNA	NitrifyingPelletDNA_Week8_Sulphatereduction_DNARNAkit_rep1_S24_cleaned_R1.fastq.gz	pair1		
Nitrifying_Week8_Sulphatereduction_rep1_DNA	NitrifyingPelletDNA_Week8_Sulphatereduction_DNARNAkit_rep1_S24_cleaned_R2.fastq.gz	pair2		
Nitrifying_Week8_Sulphatereduction_rep2_DNA	NitrifyingPelletDNA_Week8_Sulphatereduction_DNARNAkit_rep2_S25_cleaned_R1.fastq.gz	pair1		
Nitrifying_Week8_Sulphatereduction_rep2_DNA	NitrifyingPelletDNA_Week8_Sulphatereduction_DNARNAkit_rep2_S25_cleaned_R2.fastq.gz	pair2		
